model,feature_set,features,train_pct,accuracy_pct
knn_5,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",60,96.375
knn_5,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",60,96.0
nearest_centroid,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",60,94.25
knn_5,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",40,93.16666666666666
knn_5,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",40,92.5
knn_5,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",20,89.875
nearest_centroid,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",60,89.75
nearest_centroid,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",40,87.83333333333333
knn_5,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",20,86.6875
nearest_centroid,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",40,84.75
nearest_centroid,combined_bath_bss,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80, mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",20,81.0625
nearest_centroid,bss_only,"mean_80_100, drop_80_100, std_80_100, left_right_diff, edge_center_diff, glcm_entropy_91_100, glcm_homogeneity_91_100",20,76.4375
knn_5,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",60,65.25
knn_5,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",40,62.916666666666664
knn_5,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",20,53.43750000000001
nearest_centroid,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",60,53.37499999999999
nearest_centroid,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",40,50.083333333333336
nearest_centroid,bathymetry_only,"bath_std_41_80, bath_sixph_41_80, bath_mad_41_80, bath_diff_std_41_80, bath_p90_p10_41_80, bath_range_41_80",20,43.125
